user_id,liked_indices
Rock_Fan_1,"[10564, 120134, 13148, 138951, 102026, 11949, 48078, 52879, 83409, 86999, 54392, 100217, 116666, 120252]"
Rock_Fan_2,"[11074, 34277, 14246, 19719, 100138, 10602, 11949, 154638, 29743, 169044, 136788, 49945, 107195, 13660, 14463]"
Rock_Fan_3,"[32045, 33102, 19759, 14127, 11730, 70738, 10877, 70399]"
Rock_Fan_4,"[15297, 10980, 50552, 132765, 11144, 102026, 32045, 14064, 9365, 8694, 67734, 9142, 48953, 69754, 90076, 53245, 9055]"
Rock_Fan_5,"[87776, 31712, 31973, 15334, 9160, 87498, 12014, 168559, 34355, 47863, 12825, 53210, 13212]"
Pop_Fan_1,"[75840, 142433, 19908, 36836, 18406, 93576, 125097, 17544, 142219, 156301, 108174, 20174, 37872, 38448, 17908, 18584, 156923, 56414]"
Pop_Fan_2,"[141217, 56966, 37480, 142952, 18734, 57584, 124529, 19730, 91604, 109594, 171647]"
Pop_Fan_3,"[37638, 19142, 140774, 108710, 17678, 110036, 140254, 172119, 126455, 17502, 157341, 20126]"
Pop_Fan_4,"[56418, 75974, 37640, 38346, 142219, 38476, 18222, 36846, 39054, 156977, 108786, 19380, 18804, 20216, 75928]"
Pop_Fan_5,"[18944, 38661, 140742, 19398, 156297, 19180, 39248, 124529, 142421, 18838, 18422, 75446, 74206]"
Rap_Fan_1,"[109056, 26049, 92098, 142179, 57892, 156482, 55175, 16264, 126409, 57896, 35468, 19664, 172401, 57236, 172503, 142335, 142679, 107199]"
Rap_Fan_2,"[109922, 16580, 108580, 72358, 56998, 37288, 122377, 57804, 92894, 108718, 169709, 19632, 172401, 89970, 54128, 90585, 75774]"
Rap_Fan_3,"[126049, 38370, 38466, 17636, 57928, 93384, 54282, 55344, 57456, 158611, 37236, 107382, 56374, 37432, 19798, 72218, 76060, 20030]"
Rap_Fan_4,"[36418, 73475, 157827, 57478, 57704, 18152, 109834, 76136, 58060, 89805, 173147, 71920, 4468, 16342, 158519, 57594, 142619, 20030]"
Rap_Fan_5,"[107394, 17412, 58022, 140844, 18092, 56348, 147217, 55414, 29850, 124955, 109948, 19646]"
Jazz_Soul_Fan_1,"[27329, 45155, 9091, 45478, 82281, 81353, 150831, 26451, 83671, 26904, 88475, 147358]"
Jazz_Soul_Fan_2,"[7393, 115972, 7686, 153254, 83529, 157674, 162191, 45781, 98165, 109465]"
Jazz_Soul_Fan_3,"[162492, 45155, 97609, 7306, 98347, 66701, 71181, 83251, 146771, 98165, 9400, 46489, 113659, 82812, 64991]"
Jazz_Soul_Fan_4,"[45669, 97830, 82693, 130181, 9513, 97994, 5097, 131462, 6767, 107088, 65488, 45650, 97592, 1179, 100732]"
Jazz_Soul_Fan_5,"[63552, 99587, 113991, 1160, 39755, 27788, 46030, 6766, 45138, 114132, 536, 97561, 46138, 65501, 64350, 162239]"
Electro_Fan_1,"[72770, 18052, 157157, 38661, 155561, 125783, 57934, 157457, 92118, 172983, 56316, 172317]"
Electro_Fan_2,"[37475, 37510, 155559, 155561, 142954, 173997, 54509, 18292, 39158, 71992, 124825, 108411]"
Electro_Fan_3,"[76320, 106656, 93410, 19043, 157157, 172581, 157865, 76054, 172983, 53690, 19803]"
